object_track_no,frame_no,speed
2,51,19.285714285714285
2,52,19.285714285714285
2,53,19.285714285714285
2,54,19.285714285714285
2,55,19.285714285714285
2,56,19.285714285714285
2,57,19.285714285714285
2,58,19.285714285714285
2,59,19.285714285714285
2,60,19.285714285714285
2,61,19.285714285714285
2,62,19.285714285714285
2,63,19.285714285714285
2,64,19.285714285714285
2,65,19.285714285714285
2,66,19.285714285714285
2,67,19.285714285714285
2,68,19.285714285714285
2,69,19.285714285714285
2,70,19.285714285714285
2,71,19.285714285714285
2,72,19.285714285714285
2,73,19.285714285714285
2,74,19.285714285714285
2,75,19.285714285714285
2,76,19.285714285714285
2,77,19.285714285714285
2,78,19.285714285714285
2,79,19.285714285714285
2,80,19.285714285714285
2,81,19.285714285714285
2,82,19.285714285714285
2,83,19.285714285714285
2,84,19.285714285714285
2,85,19.285714285714285
2,86,19.285714285714285
2,87,19.285714285714285
2,88,19.285714285714285
2,89,19.285714285714285
2,90,19.285714285714285
2,91,19.285714285714285
2,92,19.285714285714285
2,93,19.285714285714285
2,94,19.285714285714285
2,95,19.285714285714285
2,96,19.285714285714285
2,97,19.285714285714285
2,98,19.285714285714285
2,99,19.285714285714285
2,100,19.285714285714285
2,101,19.285714285714285
2,102,19.285714285714285
2,103,19.285714285714285
2,104,19.285714285714285
2,105,19.285714285714285
2,106,19.285714285714285
2,107,19.285714285714285
2,108,19.285714285714285
2,109,19.285714285714285
2,110,19.285714285714285
2,111,19.285714285714285
2,112,19.285714285714285
2,113,19.285714285714285
2,114,19.285714285714285
2,115,19.285714285714285
2,116,19.285714285714285
2,117,19.285714285714285
2,118,19.285714285714285
2,119,19.285714285714285
2,120,19.285714285714285
2,121,19.285714285714285
2,122,19.285714285714285
2,123,19.285714285714285
2,124,19.285714285714285
2,125,19.285714285714285
2,126,19.285714285714285
2,127,19.285714285714285
2,128,19.285714285714285
2,129,19.285714285714285
2,130,19.285714285714285
2,131,19.285714285714285
2,132,19.285714285714285
2,133,19.285714285714285
2,134,19.285714285714285
2,135,19.285714285714285
2,136,19.285714285714285
2,137,19.285714285714285
2,138,19.285714285714285
2,139,19.285714285714285
2,140,19.285714285714285
2,141,19.285714285714285
2,142,19.285714285714285
2,143,19.285714285714285
2,144,19.285714285714285
2,145,19.285714285714285
2,146,19.285714285714285
2,147,19.285714285714285
2,148,19.285714285714285
2,149,19.285714285714285
2,150,19.285714285714285
2,151,19.285714285714285
2,152,19.285714285714285
2,153,19.285714285714285
2,154,19.285714285714285
2,155,19.285714285714285
2,156,19.285714285714285
2,157,19.285714285714285
2,158,19.285714285714285
2,159,19.285714285714285
